,count,mean,std,min,25%,50%,75%,max
id,35036.0,5.0070972094213446e+17,5.815799449288897e+17,6848.0,21581284.0,51483167.5,1.030398949238734e+18,1.6543992436151987e+18
scrape_id,35036.0,20260414135910.0,13.769727759675979,20260414135910.0,20260414135910.0,20260414135910.0,20260414135910.0,20260414135910.0
neighborhood_overview,0.0,,,,,,,
host_id,35036.0,185550186.81022376,204184269.39398858,1678.0,19658525.75,99549575.5,337848255.25,754579027.0
host_profile_id,34196.0,1.467165765055159e+18,1.2190316924173964e+16,1.4625062707160568e+18,1.462878218489234e+18,1.465524383381082e+18,1.46927470168079e+18,1.6493320336175555e+18
host_since,0.0,,,,,,,
hosts_time_as_user_years,34196.0,8.45426365656802,3.719541580675301,0.0,6.0,9.0,11.0,17.0
hosts_time_as_user_months,34196.0,5.5876125862674,3.3791742943915106,0.0,3.0,6.0,9.0,11.0
hosts_time_as_host_years,34196.0,6.939554333840215,3.6798000972742693,0.0,4.0,7.0,10.0,15.0
hosts_time_as_host_months,34196.0,5.417709673646041,3.2990068160379415,0.0,3.0,5.0,8.0,11.0
host_response_time,0.0,,,,,,,
host_response_rate,0.0,,,,,,,
host_acceptance_rate,0.0,,,,,,,
host_thumbnail_url,0.0,,,,,,,
host_neighbourhood,0.0,,,,,,,
host_listings_count,34196.0,249.38486957538893,996.4186857302535,0.0,1.0,2.0,10.0,5740.0
host_total_listings_count,0.0,,,,,,,
host_verifications,0.0,,,,,,,
neighbourhood,0.0,,,,,,,
latitude,35036.0,40.72890431913055,0.05636069276337953,40.50456,40.6883075,40.727595,40.76232,40.91139
longitude,35036.0,-73.94762115092236,0.05543701302067756,-74.251907,-73.98401614124145,-73.95568,-73.92832536164302,-73.71182221830068
accommodates,35036.0,2.7766582943258364,1.8837436434554256,1.0,2.0,2.0,4.0,16.0
bathrooms,3797.0,1.1714511456412957,0.5220090940336568,0.0,1.0,1.0,1.0,7.0
bedrooms,22972.0,1.4949068431133554,0.8855640941088097,0.0,1.0,1.0,2.0,16.0
beds,3761.0,1.82451475671364,1.5012565427985247,0.0,1.0,1.0,2.0,21.0
price_quote_total_price,20693.0,5070.869004494273,10430.827402235205,64.57,1443.84,3161.23,5890.39,368372.0
price_quote_price_per_night,20693.0,254.99885661818004,440.4783280406023,4.47,93.8,167.25,279.5,15075.0
minimum_nights,35033.0,27.850312562441125,28.335567804526633,1.0,30.0,30.0,30.0,1124.0
maximum_nights,35033.0,1226647.2245597008,51296562.02338849,1.0,365.0,730.0,1125.0,2147483647.0
minimum_minimum_nights,35033.0,27.850312562441125,28.335567804526633,1.0,30.0,30.0,30.0,1124.0
maximum_minimum_nights,35033.0,36.223075386064565,59.35629903227891,1.0,30.0,30.0,30.0,1124.0
minimum_maximum_nights,35033.0,245835.56129934633,22945761.264574755,1.0,180.0,365.0,1125.0,2147483647.0
maximum_maximum_nights,35033.0,1226647.2245597008,51296562.02338849,1.0,365.0,730.0,1125.0,2147483647.0
minimum_nights_avg_ntm,35036.0,28.76279255622788,33.25791194872141,1.0,30.0,30.0,30.0,1124.0
maximum_nights_avg_ntm,35036.0,418957.4264499372,25353435.732344106,1.0,270.0,365.0,1125.0,2147483647.0
calendar_updated,0.0,,,,,,,
availability_30,35036.0,10.367593332572211,12.56315771595341,0.0,0.0,0.0,26.0,30.0
availability_60,35036.0,22.43643680785478,24.99145419502416,0.0,0.0,10.0,53.0,60.0
availability_90,35036.0,35.04600981847243,37.43463198836305,0.0,0.0,18.0,79.0,90.0
availability_365,35036.0,157.04332686379723,145.8908315453008,0.0,0.0,144.0,305.0,365.0
number_of_reviews,35036.0,28.636231304943486,72.97709792985526,0.0,0.0,3.0,23.0,4310.0
number_of_reviews_ltm,35036.0,4.0174106633177304,17.793842955878084,0.0,0.0,0.0,1.0,1338.0
number_of_reviews_l30d,35036.0,0.254795067930129,1.4594118045102678,0.0,0.0,0.0,0.0,90.0
availability_eoy,35036.0,114.55745518894851,106.83106619572115,0.0,0.0,103.0,229.0,262.0
number_of_reviews_ly,35036.0,3.943315446968832,17.769837666998395,0.0,0.0,0.0,1.0,1557.0
estimated_occupancy_l365d,35036.0,46.08594017581916,83.93306136890531,0.0,0.0,0.0,60.0,255.0
estimated_revenue_l365d,20693.0,16899.121925288746,35566.648897722065,0.0,0.0,0.0,20356.0,1093568.0
review_scores_rating,24542.0,4.721851519843534,0.46149056424616,0.0,4.65,4.86,5.0,5.0
review_scores_accuracy,24532.0,4.761280368498288,0.4469288751168514,0.0,4.71,4.9,5.0,5.0
review_scores_cleanliness,24541.0,4.660720834521821,0.5029750021915589,0.0,4.54,4.82,5.0,5.0
review_scores_checkin,24528.0,4.834389677103719,0.3820856591794862,0.0,4.82,4.95,5.0,5.0
review_scores_communication,24536.0,4.818834365829801,0.424162957967675,0.0,4.82,4.96,5.0,5.0
review_scores_location,24525.0,4.745455249745158,0.3961136045266816,0.0,4.66,4.86,5.0,5.0
review_scores_value,24526.0,4.63392970724945,0.5026299621904318,0.0,4.52,4.76,4.94,5.0
instant_bookable,0.0,,,,,,,
calculated_host_listings_count,35036.0,54.82600753510675,194.28508427807637,1.0,1.0,1.0,8.0,1090.0
calculated_host_listings_count_entire_homes,35036.0,46.96021235300834,193.30253557400277,0.0,0.0,1.0,2.0,1090.0
calculated_host_listings_count_private_rooms,35036.0,7.0349354949195115,30.893477349468313,0.0,0.0,0.0,2.0,230.0
calculated_host_listings_count_shared_rooms,35036.0,0.07346729078661948,0.9068015230694594,0.0,0.0,0.0,0.0,20.0
reviews_per_month,24542.0,0.7789352945970173,1.8184592303665024,0.01,0.07,0.23,0.83,116.8
